,Title,location,Posting_date,job_link
58,Software Development Engineer,"US, CA, Santa Monica ","February 27, 2018",https://www.amazon.jobs/en/jobs/628933/software-development-engineer
59,Software Development Engineer,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628928/software-development-engineer
60,Web Development Engineer,"US, MA, Cambridge ","February 27, 2018",https://www.amazon.jobs/en/jobs/628925/web-development-engineer
61,Software Development Engineer - Prime Air,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628901/software-development-engineer-prime-air
62,Software Development Engineer – In-Memory Distributed Systems,"CA, BC, Vancouver ","February 27, 2018",https://www.amazon.jobs/en/jobs/628838/software-development-engineer-in-memory-distributed-systems
63,Software Development Engineer – In-Memory Distributed Systems,"CA, BC, Vancouver ","February 27, 2018",https://www.amazon.jobs/en/jobs/628837/software-development-engineer-in-memory-distributed-systems
64,Software Development Engineer – In-Memory Distributed Systems,"CA, BC, Vancouver ","February 27, 2018",https://www.amazon.jobs/en/jobs/628835/software-development-engineer-in-memory-distributed-systems
65,Embedded Software Development Manager,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628732/embedded-software-development-manager
66,Software Development Manager - Alexa OS,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628718/software-development-manager-alexa-os
67,Senior Software Development Engineer- Security ,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628674/senior-software-development-engineer-security
68,Software Development Engineer II,"US, TX, Austin ","February 27, 2018",https://www.amazon.jobs/en/jobs/628671/software-development-engineer-ii
69,Software Development Engineer,"IN, TS, Hyderabad ","February 27, 2018",https://www.amazon.jobs/en/jobs/628662/software-development-engineer
70,"Software Development Engineer - AWS, New Storage Service","US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628656/software-development-engineer-aws-new-storage-service
71,Software Development Engineer: Revenue Team - Goodreads,"US, CA, San Francisco ","February 27, 2018",https://www.amazon.jobs/en/jobs/628513/software-development-engineer-revenue-team-goodreads
72,Sr. Software Development Engineer,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628502/sr-software-development-engineer
73,Software Development Manager,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628410/software-development-manager
74,Software Development Engineer,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628409/software-development-engineer
75,Software Development Engineer,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628408/software-development-engineer
76,Software Development Engineer,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628407/software-development-engineer
77,Software Development Engineer,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628406/software-development-engineer
78,"Software Engineer, ECS","US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628403/software-engineer-ecs
79,Software Development Engineer,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628343/software-development-engineer
80,Software Development Engineer- Security ,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628228/software-development-engineer-security
81,"Industrial Software Showcase Center Intern, AWS","DE, BY, Munich ","February 27, 2018",https://www.amazon.jobs/en/jobs/628207/industrial-software-showcase-center-intern-aws
82,"AWS Database Services SDE, Amazon Redshift","US, CA, East Palo Alto ","February 27, 2018",https://www.amazon.jobs/en/jobs/628196/aws-database-services-sde-amazon-redshift
83,Software Development Engineer Intern - Compliance Tech Team,"RO, Iasi ","February 27, 2018",https://www.amazon.jobs/en/jobs/628148/software-development-engineer-intern-compliance-tech-team
84,Senior Software Development Engineer - Alexa Automotive,"PL, Gdansk ","February 27, 2018",https://www.amazon.jobs/en/jobs/628131/senior-software-development-engineer-alexa-automotive
85,Software Development Engineer - Alexa Automotive,"PL, Gdansk ","February 27, 2018",https://www.amazon.jobs/en/jobs/628129/software-development-engineer-alexa-automotive
86,"Senior Manager, Software Development","US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628127/senior-manager-software-development
87,AWS Full Stack Developer,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628094/aws-full-stack-developer
88,AWS Software Developer,"US, WA, Seattle ","February 27, 2018",https://www.amazon.jobs/en/jobs/628092/aws-software-developer
89,Software Development Internship 2018 (m/f),"PL, Bielany Wroclawskie ","February 27, 2018",https://www.amazon.jobs/en/jobs/628082/software-development-internship-2018-m-f
90,Software Development Engineer - Alexa Automotive,"PL, Gdansk ","February 27, 2018",https://www.amazon.jobs/en/jobs/627988/software-development-engineer-alexa-automotive
91,Software Development Engineer - Amazon Web Services - Berlin (m/f),"DE, Berlin ","February 27, 2018",https://www.amazon.jobs/en/jobs/627976/software-development-engineer-amazon-web-services-berlin-m-f
92,Software Development Engineer - Amazon Cloud Drive,"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627914/software-development-engineer-amazon-cloud-drive
93,Sr. Technical Program Manager,"IN, KA, Bangalore ","February 26, 2018",https://www.amazon.jobs/en/jobs/627905/sr-technical-program-manager
94,Software Development Engineer,"IN, KA, Bangalore ","February 26, 2018",https://www.amazon.jobs/en/jobs/627904/software-development-engineer
95,Software Development Engineer,"IN, KA, Bangalore ","February 26, 2018",https://www.amazon.jobs/en/jobs/627902/software-development-engineer
96,Technical Lead Consumer Cloud Storage,"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627844/technical-lead-consumer-cloud-storage
97,Software Development Engineer - Alexa Automotive,"PL, Gdansk ","February 26, 2018",https://www.amazon.jobs/en/jobs/627843/software-development-engineer-alexa-automotive
98,Software Development Engineer - Alexa Automotive,"PL, Gdansk ","February 26, 2018",https://www.amazon.jobs/en/jobs/627842/software-development-engineer-alexa-automotive
99,"Software Development Manager - Alexa, Echo, Skills","US, CA, Irvine ","February 26, 2018",https://www.amazon.jobs/en/jobs/627836/software-development-manager-alexa-echo-skills
100,Sr Applied Scientist - Simulation,"US, CA, East Palo Alto ","February 26, 2018",https://www.amazon.jobs/en/jobs/627708/sr-applied-scientist-simulation
101,Software Development Engineer- Efficiency,"CA, BC, Vancouver ","February 26, 2018",https://www.amazon.jobs/en/jobs/627693/software-development-engineer-efficiency
102,Software Development Engineer - Paid Search,"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627685/software-development-engineer-paid-search
103,"Software Development Manager, Alexa Experiences and Devices","US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627679/software-development-manager-alexa-experiences-and-devices
104,Senior Software Engineer - Alexa (Cloud Services),"US, CA, Sunnyvale ","February 26, 2018",https://www.amazon.jobs/en/jobs/627674/senior-software-engineer-alexa-cloud-services
105,Software Development Engineer II - AMZ2154,"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627670/software-development-engineer-ii-amz2154
106,Software Development Engineer,"US, TX, Austin ","February 26, 2018",https://www.amazon.jobs/en/jobs/627638/software-development-engineer
107,Software Development Manager,"US, TX, Austin ","February 26, 2018",https://www.amazon.jobs/en/jobs/627637/software-development-manager
108,Sr Software Dev Engineer,"US, TX, Austin ","February 26, 2018",https://www.amazon.jobs/en/jobs/627629/sr-software-dev-engineer
109,Sr. Software Development Engineer - AWS EC2 Elastic Block Store (EBS),"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627552/sr-software-development-engineer-aws-ec2-elastic-block-store-ebs
110,Software Development Engineer - AWS EC2 Elastic Block Store (EBS),"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627551/software-development-engineer-aws-ec2-elastic-block-store-ebs
111,Sr. Software Development Engineer,"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627544/sr-software-development-engineer
112,Software Development Engineer,"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627543/software-development-engineer
113,"Senior Software Development Engineer, Alexa Experience and Devices","US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627534/senior-software-development-engineer-alexa-experience-and-devices
114,"Senior Software Development Engineer, AWS","US, CA, San Francisco ","February 26, 2018",https://www.amazon.jobs/en/jobs/627512/senior-software-development-engineer-aws
115,"Software Development Engineer, Alexa Customer Experience","US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627507/software-development-engineer-alexa-customer-experience
116,"Software Development Engineer, Alexa Customer Experience","US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627506/software-development-engineer-alexa-customer-experience
117,"Software Development Engineer, Alexa Customer Experience","US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627503/software-development-engineer-alexa-customer-experience
118,Software Development Engineer,"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627449/software-development-engineer
119,Software Development Engineer,"CA, ON, Toronto ","February 26, 2018",https://www.amazon.jobs/en/jobs/627419/software-development-engineer
120,"Software Engineer, Picking Innovation, Amazon Fulfillment Technology","CA, ON, Toronto ","February 26, 2018",https://www.amazon.jobs/en/jobs/627399/software-engineer-picking-innovation-amazon-fulfillment-technology
121,Software Development Engineer,"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627397/software-development-engineer
122,Software Development Engineer,"US, WA, Seattle ","February 26, 2018",https://www.amazon.jobs/en/jobs/627388/software-development-engineer
123,"Sr. Manager Software Development, Sortation- Fulfillment Technology","CA, ON, Toronto ","February 26, 2018",https://www.amazon.jobs/en/jobs/627335/sr-manager-software-development-sortation-fulfillment-technology
124,Software Development Engineer,"US, MA, North Reading ","February 26, 2018",https://www.amazon.jobs/en/jobs/627287/software-development-engineer
125,Software Development Engineer,"US, CA, East Palo Alto ","February 25, 2018",https://www.amazon.jobs/en/jobs/627172/software-development-engineer
126,Software Development Engineer II ,"US, WA, Seattle ","February 25, 2018",https://www.amazon.jobs/en/jobs/627162/software-development-engineer-ii
127,Software Development Engineer - Embedded Programming,"US, MA, Cambridge ","February 25, 2018",https://www.amazon.jobs/en/jobs/627091/software-development-engineer-embedded-programming
128,Software Development Engineer - Prototyping ,"US, CA, Sunnyvale ","February 25, 2018",https://www.amazon.jobs/en/jobs/627087/software-development-engineer-prototyping
129,"Software Development Engineer, Transportation Technology","US, MN, Minneapolis ","February 25, 2018",https://www.amazon.jobs/en/jobs/627071/software-development-engineer-transportation-technology
130,Sr. Software Development Engineer - Search Ranking,"US, CA, Palo Alto ","February 25, 2018",https://www.amazon.jobs/en/jobs/627048/sr-software-development-engineer-search-ranking
131,Full Stack Developer,"AE, Dubai ","February 24, 2018",https://www.amazon.jobs/en/jobs/627040/full-stack-developer
132,Software Development Manager - Search team,"US, CA, San Francisco ","February 24, 2018",https://www.amazon.jobs/en/jobs/626959/software-development-manager-search-team
133,Software Development Engineer,"IN, KA, Bangalore ","February 24, 2018",https://www.amazon.jobs/en/jobs/626956/software-development-engineer
134,Software Development Engineer ,"IN, KA, Bangalore ","February 24, 2018",https://www.amazon.jobs/en/jobs/626952/software-development-engineer
135,Software Dev Engineer,"US, WA, Seattle ","February 24, 2018",https://www.amazon.jobs/en/jobs/626949/software-dev-engineer
136,Software Development Manager- AWS Marketplace,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626916/software-development-manager-aws-marketplace
137,"Senior SDE, Systems Intelligence","US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626912/senior-sde-systems-intelligence
138,Software Development Engineer - AWS Serverless,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626873/software-development-engineer-aws-serverless
139,Software Development Engineer,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626872/software-development-engineer
140,Software Development Engineer,"US, CA, San Francisco ","February 23, 2018",https://www.amazon.jobs/en/jobs/626863/software-development-engineer
141,Software Development Engineer,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626857/software-development-engineer
142,Senior Software Development Engineer,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626856/senior-software-development-engineer
143,Software Development Engineer,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626851/software-development-engineer
144,"Software Development Engineer III, in Test","US, CA, Palo Alto ","February 23, 2018",https://www.amazon.jobs/en/jobs/626831/software-development-engineer-iii-in-test
145,Software Development Engineer - AWS Key Management Service,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626823/software-development-engineer-aws-key-management-service
146,"Sr. Software Development Engineer, Robotics","US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626820/sr-software-development-engineer-robotics
147,Software Developer Engineer II,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626788/software-developer-engineer-ii
148,Software Developer Engineer II,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626787/software-developer-engineer-ii
149,Software Development Manager,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626782/software-development-manager
150,Web Development Engineer,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626781/web-development-engineer
151,Web Development Engineer,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626778/web-development-engineer
152,Software Development Engineer,"US, MA, North Reading ","February 23, 2018",https://www.amazon.jobs/en/jobs/626775/software-development-engineer
153,Senior Network Programmer - Amazon Game Studios,"US, CA, San Diego ","February 23, 2018",https://www.amazon.jobs/en/jobs/626757/senior-network-programmer-amazon-game-studios
154,Software Development Engineer,"US, CA, Sunnyvale ","February 23, 2018",https://www.amazon.jobs/en/jobs/626696/software-development-engineer
155,Software Development Engineer - AWS Serverless,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626693/software-development-engineer-aws-serverless
156,Web Development Engineer II - AMZ2363,"US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626681/web-development-engineer-ii-amz2363
157,"Software Development Manager, International Expansion","US, WA, Seattle ","February 23, 2018",https://www.amazon.jobs/en/jobs/626678/software-development-manager-international-expansion
158,Software Development Engineer III - AMZ2527,"US, TX, Austin ","February 23, 2018",https://www.amazon.jobs/en/jobs/626664/software-development-engineer-iii-amz2527
159,Software Development Engineer II - AMZ2366,"US, CA, Irvine ","February 23, 2018",https://www.amazon.jobs/en/jobs/626663/software-development-engineer-ii-amz2366
